epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
,9.375000000000001e-06,,,,,,,,,,,,,,113949,,,,,,,,,,,,
15,,,,,,,,,,,,,,,113949,,0.23746351897716522,,0.2867688238620758,,,1.1365896463394165,,0.254709929227829,1.450750470161438,,6144.0
,9.375000000000001e-06,,,,,,,,,,,,,,113999,,,,,,,,,,,,
15,,,,,,,,,,,,,,,113999,,0.0909196138381958,,0.023468639701604843,,,0.14973939955234528,,0.018677392974495888,0.16193756461143494,,6144.0
,9.375000000000001e-06,,,,,,,,,,,,,,114049,,,,,,,,,,,,
15,,,,,,,,,,,,,,,114049,,0.14076006412506104,,0.21984624862670898,,,1.3384106159210205,,0.32235777378082275,1.612932562828064,,6144.0
,9.375000000000001e-06,,,,,,,,,,,,,,114099,,,,,,,,,,,,
15,,,,,,,,,,,,,,,114099,,0.09225437045097351,,0.06703533977270126,,,0.3124571144580841,,0.06314097344875336,0.3801420331001282,,6144.0
,9.375000000000001e-06,,,,,,,,,,,,,,114149,,,,,,,,,,,,
15,,,,,,,,,,,,,,,114149,,0.09137356281280518,,0.06665142625570297,,,0.5576611757278442,,0.08072227239608765,0.5935026407241821,,6144.0
,9.375000000000001e-06,,,,,,,,,,,,,,114199,,,,,,,,,,,,
15,,,,,,,,,,,,,,,114199,,0.09159577637910843,,0.01923791877925396,,,0.13764388859272003,,0.00843963585793972,0.1377926617860794,,6144.0
,9.375000000000001e-06,,,,,,,,,,,,,,114249,,,,,,,,,,,,
15,,,,,,,,,,,,,,,114249,,0.09130802750587463,,0.02953324094414711,,,0.1715555042028427,,0.024205926805734634,0.19098356366157532,,6144.0
