epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
,5e-05,,,,,,,,,,,,,,49,,,,,,,,,,,,
0,,,,,,,,,,,,,,,49,,0.060186561197042465,,1.5950851440429688,,,2.5852856636047363,,0.6812925338745117,4.344606399536133,,4096.0
,5e-05,,,,,,,,,,,,,,99,,,,,,,,,,,,
0,,,,,,,,,,,,,,,99,,0.06060940772294998,,1.0541441440582275,,,2.066206455230713,,0.5277223587036133,3.2348318099975586,,4096.0
,5e-05,,,,,,,,,,,,,,149,,,,,,,,,,,,
0,,,,,,,,,,,,,,,149,,0.06005750223994255,,2.158421039581299,,,2.208681583404541,,0.5304157733917236,4.455781936645508,,4096.0
,5e-05,,,,,,,,,,,,,,199,,,,,,,,,,,,
0,,,,,,,,,,,,,,,199,,0.060456957668066025,,0.6524137258529663,,,1.911908507347107,,0.4593471884727478,2.6412878036499023,,4096.0
,5e-05,,,,,,,,,,,,,,249,,,,,,,,,,,,
0,,,,,,,,,,,,,,,249,,0.06056416034698486,,0.785754919052124,,,2.0358898639678955,,0.5290472507476807,2.943514108657837,,4096.0
,5e-05,,,,,,,,,,,,,,299,,,,,,,,,,,,
0,,,,,,,,,,,,,,,299,,0.06042402982711792,,1.045393705368042,,,2.0666189193725586,,0.5266278982162476,3.2253170013427734,,4096.0
,5e-05,,,,,,,,,,,,,,349,,,,,,,,,,,,
0,,,,,,,,,,,,,,,349,,0.06350336223840714,,1.0544861555099487,,,1.959493637084961,,0.49049481749534607,3.1125757694244385,,4096.0
,5e-05,,,,,,,,,,,,,,399,,,,,,,,,,,,
0,,,,,,,,,,,,,,,399,,0.06093529611825943,,0.8177714347839355,,,2.076930522918701,,0.5465442538261414,3.025860071182251,,4096.0
,5e-05,,,,,,,,,,,,,,449,,,,,,,,,,,,
0,,,,,,,,,,,,,,,449,,0.06025215983390808,,0.5050795078277588,,,1.8708733320236206,,0.4670201241970062,2.4687981605529785,,4096.0
,5e-05,,,,,,,,,,,,,,499,,,,,,,,,,,,
0,,,,,,,,,,,,,,,499,,0.06048768013715744,,0.5358002781867981,,,1.9511913061141968,,0.4821597933769226,2.5789132118225098,,4096.0
,5e-05,,,,,,,,,,,,,,549,,,,,,,,,,,,
0,,,,,,,,,,,,,,,549,,0.060531873255968094,,0.8396384716033936,,,1.9085100889205933,,0.48080974817276,2.8472561836242676,,4096.0
,5e-05,,,,,,,,,,,,,,599,,,,,,,,,,,,
0,,,,,,,,,,,,,,,599,,0.06055014580488205,,0.6233777403831482,,,1.8305503129959106,,0.4545382857322693,2.542356252670288,,4096.0
,5e-05,,,,,,,,,,,,,,649,,,,,,,,,,,,
0,,,,,,,,,,,,,,,649,,0.06115878373384476,,0.6923779845237732,,,1.9384645223617554,,0.49136704206466675,2.7345166206359863,,4096.0
,5e-05,,,,,,,,,,,,,,699,,,,,,,,,,,,
0,,,,,,,,,,,,,,,699,,0.060496989637613297,,0.9421126842498779,,,1.999445915222168,,0.4972406029701233,3.038909912109375,,4096.0
,5e-05,,,,,,,,,,,,,,749,,,,,,,,,,,,
0,,,,,,,,,,,,,,,749,,0.06240125000476837,,1.206833004951477,,,2.0186681747436523,,0.503059446811676,3.324826955795288,,4096.0
,5e-05,,,,,,,,,,,,,,799,,,,,,,,,,,,
0,,,,,,,,,,,,,,,799,,0.060265474021434784,,0.9406902194023132,,,1.9882336854934692,,0.4838765859603882,3.0151538848876953,,4096.0
,5e-05,,,,,,,,,,,,,,849,,,,,,,,,,,,
0,,,,,,,,,,,,,,,849,,0.060327935963869095,,0.7495133876800537,,,2.001566171646118,,0.49792516231536865,2.848691463470459,,4096.0
,5e-05,,,,,,,,,,,,,,899,,,,,,,,,,,,
0,,,,,,,,,,,,,,,899,,0.0611409917473793,,0.7715235352516174,,,1.8981808423995972,,0.4800446033477783,2.7701127529144287,,4096.0
,5e-05,,,,,,,,,,,,,,949,,,,,,,,,,,,
0,,,,,,,,,,,,,,,949,,0.06281933188438416,,0.9790746569633484,,,1.9290879964828491,,0.5069435834884644,3.0292887687683105,,4096.0
,5e-05,,,,,,,,,,,,,,999,,,,,,,,,,,,
0,,,,,,,,,,,,,,,999,,0.06082252785563469,,0.4266745150089264,,,1.7600666284561157,,0.4278448522090912,2.2625725269317627,,4096.0
,5e-05,,,,,,,,,,,,,,1049,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1049,,0.060706816613674164,,0.9932984113693237,,,2.0391414165496826,,0.5112230777740479,3.1358346939086914,,4096.0
,5e-05,,,,,,,,,,,,,,1099,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1099,,0.0603412464261055,,0.6634972095489502,,,1.937415599822998,,0.4888150691986084,2.702244758605957,,4096.0
,5e-05,,,,,,,,,,,,,,1149,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1149,,0.06057984009385109,,0.4448177218437195,,,1.7685753107070923,,0.43236029148101807,2.2920384407043457,,4096.0
,5e-05,,,,,,,,,,,,,,1199,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1199,,0.06163766607642174,,0.45634925365448,,,1.7839354276657104,,0.4338936507701874,2.3173911571502686,,4096.0
,5e-05,,,,,,,,,,,,,,1249,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1249,,0.062379010021686554,,0.5470110774040222,,,1.8521755933761597,,0.45073866844177246,2.479490280151367,,4096.0
,5e-05,,,,,,,,,,,,,,1299,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1299,,0.0639846995472908,,0.5877864956855774,,,1.8754826784133911,,0.4461524486541748,2.534325122833252,,4096.0
,5e-05,,,,,,,,,,,,,,1349,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1349,,0.06058796867728233,,1.214467167854309,,,2.0871493816375732,,0.5213987827301025,3.405585527420044,,4096.0
,5e-05,,,,,,,,,,,,,,1399,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1399,,0.060893185436725616,,0.7478954195976257,,,1.9019984006881714,,0.484048992395401,2.7535431385040283,,4096.0
,5e-05,,,,,,,,,,,,,,1449,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1449,,0.06051328033208847,,0.6728918552398682,,,2.0007801055908203,,0.48435020446777344,2.757866144180298,,4096.0
,5e-05,,,,,,,,,,,,,,1499,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1499,,0.060996606945991516,,0.3364103436470032,,,1.7437379360198975,,0.43864136934280396,2.170042037963867,,4096.0
,5e-05,,,,,,,,,,,,,,1549,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1549,,0.06013328209519386,,1.0180871486663818,,,2.0127182006835938,,0.49736374616622925,3.1256253719329834,,4096.0
,5e-05,,,,,,,,,,,,,,1599,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1599,,0.06109180673956871,,0.41330069303512573,,,1.7506015300750732,,0.44156479835510254,2.2553467750549316,,4096.0
,5e-05,,,,,,,,,,,,,,1649,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1649,,0.060353536158800125,,0.7056047320365906,,,1.8633935451507568,,0.46208643913269043,2.6584060192108154,,4096.0
,5e-05,,,,,,,,,,,,,,1699,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1699,,0.06310400366783142,,0.6885231733322144,,,1.8790160417556763,,0.4878286123275757,2.6795644760131836,,4096.0
,5e-05,,,,,,,,,,,,,,1749,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1749,,0.060758013278245926,,0.5519706606864929,,,1.815969705581665,,0.4429274797439575,2.447673797607422,,4096.0
,5e-05,,,,,,,,,,,,,,1799,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1799,,0.061699073761701584,,0.5156307816505432,,,1.768308162689209,,0.44098660349845886,2.3712639808654785,,4096.0
,5e-05,,,,,,,,,,,,,,1849,,,,,,,,,,,,
0,,,,,,,,,,,,,,,1849,,0.06139817461371422,,0.4870235323905945,,,1.812850832939148,,0.4670930802822113,2.4043972492218018,,4096.0
,5e-05,,,,,,,,,,,,,,1899,,,,,,,,,,,,
