epoch,lr-AdamW,model/trainable_parameters,step,train/loss_pp_epoch,train/loss_pp_step,train/peak_memory_gib,train/samples_per_second,val/all_hard_negative_similarity,val/all_margin,val/all_positive_similarity,val/all_r0,val/all_r1,val/loss_pp,val/pitch_hard_negative_similarity,val/pitch_margin,val/pitch_positive_similarity,val/pitch_r0,val/pitch_r1,val/roll_hard_negative_similarity,val/roll_margin,val/roll_positive_similarity,val/roll_r0,val/roll_r1,val/scale_hard_negative_similarity,val/scale_margin,val/scale_positive_similarity,val/scale_r0,val/scale_r1,val/translation_hard_negative_similarity,val/translation_margin,val/translation_positive_similarity,val/translation_r0,val/translation_r1,val/yaw_hard_negative_similarity,val/yaw_margin,val/yaw_positive_similarity,val/yaw_r0,val/yaw_r1,val_r0
1,,,41,,,,,0.9801664352416992,-0.0587063692510128,0.9214600324630737,0.07345429807901382,0.08706802874803543,15.234602928161621,0.9795917868614197,-0.07075928151607513,0.9088324904441833,0.010583177208900452,0.021827802062034607,0.980474591255188,-0.049121011048555374,0.9313535690307617,0.1358795464038849,0.14946749806404114,0.9799317717552185,-0.0568414144217968,0.923090398311615,0.11259851604700089,0.12198655307292938,0.979283332824707,-0.06809613853693008,0.9111871719360352,0.007870955392718315,0.025070449337363243,0.9810529947280884,-0.060684338212013245,0.9203686714172363,0.014326082542538643,0.03318656608462334,0.07345429807901382
1,,6768.0,41,15.39896297454834,,0.20957708358764648,4.301151752471924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5750000000000013e-05,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,42,,15.567051887512207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,43,,14.114177703857422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,44,,16.172948837280273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,45,,14.838418960571289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,46,,15.437911987304688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,47,,14.604313850402832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,48,,15.005133628845215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,49,,15.81737995147705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,50,,15.783320426940918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,51,,14.939295768737793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,52,,15.014144897460938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,53,,14.979671478271484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,54,,15.236623764038086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,55,,14.750265121459961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,56,,15.131103515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,57,,14.53333854675293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,58,,15.200448036193848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,59,,16.01776885986328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,60,,15.123181343078613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,61,,15.559698104858398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,62,,15.820592880249023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,62,,,,,0.9789602756500244,-0.060444775968790054,0.9185155034065247,0.0751853957772255,0.08944027870893478,15.14915657043457,0.9783276319503784,-0.07262390851974487,0.9057037234306335,0.0117958327755332,0.023536544293165207,0.9793019890785217,-0.050655487924814224,0.9286465048789978,0.1382054090499878,0.15228302776813507,0.9786863327026367,-0.058593522757291794,0.920092761516571,0.11520630866289139,0.125463604927063,0.9779958128929138,-0.07018610090017319,0.9078096747398376,0.007968127727508545,0.02633368968963623,0.9799438118934631,-0.062456872314214706,0.9174869060516357,0.015508970245718956,0.03489518165588379,0.0751853957772255
2,,6768.0,62,15.164863586425781,,0.445192813873291,4.220232963562012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
