epoch,lr-AdamW,model/trainable_parameters,step,train/loss_pp_epoch,train/loss_pp_step,train/peak_memory_gib,train/samples_per_second,val/all_hard_negative_similarity,val/all_margin,val/all_positive_similarity,val/all_r0,val/all_r1,val/loss_pp,val/scale_hard_negative_similarity,val/scale_margin,val/scale_positive_similarity,val/scale_r0,val/scale_r1,val_r0
,0.0001,,0,,,,,,,,,,,,,,,,
0,,,0,,21.279945373535156,,,,,,,,,,,,,,
0,,,1,,20.50917625427246,,,,,,,,,,,,,,
0,,,1,,,,,0.9987873435020447,-0.2218804508447647,0.7769185304641724,0.0005165289039723575,0.004648760426789522,19.39986801147461,0.9987873435020447,-0.2218804508447647,0.7769185304641724,0.0005165289039723575,0.004648760426789522,0.0005165289039723575
0,,6816.0,1,20.894561767578125,,0.17618274688720703,1.0103400945663452,,,,,,,,,,,,
