epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,remote_pitch_inlier@5,remote_pitch_median_error,remote_pitch_num_pairs,remote_roll_inlier@5,remote_roll_median_error,remote_roll_num_pairs,remote_scale_inlier@5,remote_scale_median_error,remote_scale_num_pairs,remote_translation_inlier@5,remote_translation_median_error,remote_translation_num_pairs,remote_yaw_inlier@5,remote_yaw_median_error,remote_yaw_num_pairs,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205199,,0.0928756594657898,,0.009277034550905228,,,0.06939426809549332,,0.0019078870536759496,0.06670033931732178,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205249,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205249,,0.09322701394557953,,0.004548578057438135,,,0.07181338965892792,,0.002489394973963499,0.06448867917060852,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205299,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205299,,0.09280501306056976,,0.003954051062464714,,,0.05792990326881409,,0.001212184433825314,0.05151015520095825,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205349,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205349,,0.09391841292381287,,0.003937071654945612,,,0.05983833596110344,,0.0016668434254825115,0.053474582731723785,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205399,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205399,,0.09264975786209106,,0.009556648321449757,,,0.06540475785732269,,0.0009123245254158974,0.06279277801513672,,6144.0
,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205449,,,,,,,,,,,,
