epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_mixed_inlier@5,remote_mixed_median_error,remote_mixed_num_pairs,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57449,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,57449,,0.09003222733736038,,2.7316126823425293,,,2.0600624084472656,,0.49739205837249756,4.877054691314697,,6144.0
45,,0.0,0.0086696557700634,0.0005979073466733098,0.00284005980938673,81.25590515136719,7.623931407928467,75.20597839355469,0.00284005980938673,75.20597839355469,1755.0,13380.0,1755.0,0.0,0.0034810735378414392,5.7701323385117576e-05,0.000959585013333708,57453,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,57453,0.09700306504964828,,2.7529330253601074,,4.903952598571777,2.0611867904663086,,0.502070426940918,,,6144.0,
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57499,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57499,,0.09078860282897949,,2.5712571144104004,,,2.06011700630188,,0.5065680742263794,4.725918769836426,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57549,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57549,,0.09037225693464279,,3.1493453979492188,,,2.0631160736083984,,0.4898734986782074,5.2897114753723145,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57599,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,57599,,0.08977526426315308,,2.7606682777404785,,,2.062176465988159,,0.4974641501903534,4.907873630523682,,6144.0
,2.3437500000000002e-06,,,,,,,,,,,,,,,,,57649,,,,,,,,,,,,
