epoch,lr-AdamW,remote_inlier@1,remote_inlier@10,remote_inlier@3,remote_inlier@5,remote_mean_error,remote_mean_matches,remote_median_error,remote_num_matches,remote_num_pairs,remote_pair_inlier@1,remote_pair_inlier@10,remote_pair_inlier@3,remote_pair_inlier@5,step,train/forward_time_epoch,train/forward_time_step,train/loss_c_epoch,train/loss_c_step,train/loss_epoch,train/loss_f_epoch,train/loss_f_step,train/loss_rf_epoch,train/loss_rf_step,train/loss_step,train/num_matches_epoch,train/num_matches_step
,7.500000000000001e-05,,,,,,,,,,,,,,49,,,,,,,,,,,,
0,,,,,,,,,,,,,,,49,,0.09218252450227737,,2.47676420211792,,,2.155569314956665,,0.5287184119224548,4.72993803024292,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,99,,,,,,,,,,,,
0,,,,,,,,,,,,,,,99,,0.09149747341871262,,1.5106544494628906,,,2.082764148712158,,0.49358266592025757,3.6704485416412354,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,149,,,,,,,,,,,,
0,,,,,,,,,,,,,,,149,,0.09594269096851349,,1.1007331609725952,,,2.0570881366729736,,0.49976855516433716,3.2461721897125244,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,199,,,,,,,,,,,,
0,,,,,,,,,,,,,,,199,,0.09136230498552322,,1.0778411626815796,,,2.0487747192382812,,0.49978235363960266,3.2166433334350586,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,249,,,,,,,,,,,,
0,,,,,,,,,,,,,,,249,,0.09935366362333298,,1.207568645477295,,,2.0573174953460693,,0.49961116909980774,3.3530337810516357,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,299,,,,,,,,,,,,
0,,,,,,,,,,,,,,,299,,0.09474252909421921,,0.9355664253234863,,,2.015854597091675,,0.464880108833313,3.0131301879882812,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,349,,,,,,,,,,,,
0,,,,,,,,,,,,,,,349,,0.0913407951593399,,0.9200572371482849,,,2.0090553760528564,,0.47379934787750244,3.001101016998291,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,399,,,,,,,,,,,,
0,,,,,,,,,,,,,,,399,,0.0917818546295166,,0.8901950120925903,,,2.0016446113586426,,0.4932979941368103,2.984808921813965,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,449,,,,,,,,,,,,
0,,,,,,,,,,,,,,,449,,0.09069977700710297,,0.9647033214569092,,,1.9983409643173218,,0.47093695402145386,3.0343129634857178,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,499,,,,,,,,,,,,
0,,,,,,,,,,,,,,,499,,0.09453056007623672,,0.8820614218711853,,,1.9730968475341797,,0.4555624723434448,2.9161014556884766,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,549,,,,,,,,,,,,
0,,,,,,,,,,,,,,,549,,0.0926576629281044,,0.884364128112793,,,1.9775093793869019,,0.4593293070793152,2.9257009029388428,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,599,,,,,,,,,,,,
0,,,,,,,,,,,,,,,599,,0.09361407905817032,,0.8186317682266235,,,1.9481297731399536,,0.45385223627090454,2.8309879302978516,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,649,,,,,,,,,,,,
0,,,,,,,,,,,,,,,649,,0.09474969655275345,,0.8538450598716736,,,1.9370765686035156,,0.4532134532928467,2.856719732284546,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,699,,,,,,,,,,,,
0,,,,,,,,,,,,,,,699,,0.0926303043961525,,0.8873025178909302,,,1.9311946630477905,,0.4267199635505676,2.858978033065796,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,749,,,,,,,,,,,,
0,,,,,,,,,,,,,,,749,,0.0928860753774643,,0.8206136226654053,,,1.9025629758834839,,0.43733564019203186,2.7799997329711914,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,799,,,,,,,,,,,,
0,,,,,,,,,,,,,,,799,,0.09197055548429489,,0.9301174283027649,,,1.920203447341919,,0.4546510875225067,2.920931339263916,,6144.0
0,,0.0658578872680664,0.7284806370735168,0.24725592136383057,0.4136337339878082,7.454153537750244,15.736363410949707,6.071905612945557,1731.0,110.0,0.06434614211320877,0.7166800498962402,0.2564994692802429,0.42655760049819946,824,,,,,,,,,,,,
0,,,,,,,,,,,,,,,824,0.0952024981379509,,1.150195598602295,,3.271491527557373,2.0343267917633057,,0.49383193254470825,,,6144.0,
,7.500000000000001e-05,,,,,,,,,,,,,,849,,,,,,,,,,,,
1,,,,,,,,,,,,,,,849,,0.09270653128623962,,0.8397619724273682,,,1.880771279335022,,0.42181551456451416,2.7661943435668945,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,899,,,,,,,,,,,,
1,,,,,,,,,,,,,,,899,,0.09615360200405121,,1.007258415222168,,,1.9132540225982666,,0.4561350345611572,2.9939968585968018,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,949,,,,,,,,,,,,
1,,,,,,,,,,,,,,,949,,0.09493196755647659,,0.8627908825874329,,,1.836057186126709,,0.41921091079711914,2.750847578048706,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,999,,,,,,,,,,,,
1,,,,,,,,,,,,,,,999,,0.09180250018835068,,0.9044151902198792,,,1.8742847442626953,,0.4638221561908722,2.8676650524139404,,6144.0
,7.500000000000001e-05,,,,,,,,,,,,,,1049,,,,,,,,,,,,
1,,,,,,,,,,,,,,,1049,,0.09367126226425171,,0.9543957710266113,,,1.8601312637329102,,0.45666855573654175,2.899169445037842,,6144.0
