epoch,lr-AdamW/physical_filters,lr-AdamW/physical_v2,lr-AdamW/temperature,model/trainable_parameters,step,train/base_positive_confidence,train/enhanced_positive_confidence,train/gabor_sanitized_grad_elements,train/grad_norm_keep,train/grad_norm_orientation,train/grad_norm_physical,train/grad_norm_recover,train/grad_norm_unary,train/loss_epoch,train/loss_keep,train/loss_orientation,train/loss_physical,train/loss_recover,train/loss_step,train/loss_unary,train/peak_allocated_gib,train/peak_reserved_gib,train/physical_temperature,train/recovery_weight,train/samples_per_second,val/base_positive_confidence,val/enhanced_all_entropy,val/enhanced_all_hard_negative_similarity,val/enhanced_all_margin,val/enhanced_all_normalized_entropy,val/enhanced_all_positive_similarity,val/enhanced_all_r0,val/enhanced_all_r1,val/enhanced_pitch_entropy,val/enhanced_pitch_hard_negative_similarity,val/enhanced_pitch_margin,val/enhanced_pitch_normalized_entropy,val/enhanced_pitch_positive_similarity,val/enhanced_pitch_r0,val/enhanced_pitch_r1,val/enhanced_positive_confidence,val/enhanced_r0,val/enhanced_roll_entropy,val/enhanced_roll_hard_negative_similarity,val/enhanced_roll_margin,val/enhanced_roll_normalized_entropy,val/enhanced_roll_positive_similarity,val/enhanced_roll_r0,val/enhanced_roll_r1,val/enhanced_scale_entropy,val/enhanced_scale_hard_negative_similarity,val/enhanced_scale_margin,val/enhanced_scale_normalized_entropy,val/enhanced_scale_positive_similarity,val/enhanced_scale_r0,val/enhanced_scale_r1,val/enhanced_translation_entropy,val/enhanced_translation_hard_negative_similarity,val/enhanced_translation_margin,val/enhanced_translation_normalized_entropy,val/enhanced_translation_positive_similarity,val/enhanced_translation_r0,val/enhanced_translation_r1,val/enhanced_yaw_entropy,val/enhanced_yaw_hard_negative_similarity,val/enhanced_yaw_margin,val/enhanced_yaw_normalized_entropy,val/enhanced_yaw_positive_similarity,val/enhanced_yaw_r0,val/enhanced_yaw_r1,val/loss_keep,val/loss_orientation,val/loss_physical,val/loss_recover,val/loss_total,val/loss_unary,val/odd_selection_fraction,val/recovery_weight,val/scale_weight_entropy
0,,,,,849,,,0.0,0.13716855645179749,0.0,83.89386749267578,11.802668571472168,2.3052449226379395,,,,,,19.60909080505371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,899,,,0.0,0.13716855645179749,0.0,83.89386749267578,11.802668571472168,2.3052449226379395,,,,,,24.2366886138916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,949,,,0.0,0.13716855645179749,0.0,83.89386749267578,11.802668571472168,2.3052449226379395,,,,,,22.043867111206055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,999,,,0.0,0.13716855645179749,0.0,83.89386749267578,11.802668571472168,2.3052449226379395,,,,,,14.42193603515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1049,,,0.0,0.1846451759338379,0.0029516490176320076,45.146484375,7.240263938903809,0.49591657519340515,,,,,,19.003326416015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1099,,,9.0,0.1846451759338379,0.0029516490176320076,45.146484375,7.240263938903809,0.49591657519340515,,,,,,21.579307556152344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1149,,,0.0,0.1846451759338379,0.0029516490176320076,45.146484375,7.240263938903809,0.49591657519340515,,,,,,16.874881744384766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1199,,,0.0,0.1846451759338379,0.0029516490176320076,45.146484375,7.240263938903809,0.49591657519340515,,,,,,32.1308479309082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1249,,,0.0,0.1671915203332901,0.00026284990599378943,72.7025146484375,9.184713363647461,1.1895822286605835,,,,,,24.318056106567383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1299,,,9.0,0.1671915203332901,0.00026284990599378943,72.7025146484375,9.184713363647461,1.1895822286605835,,,,,,22.45243263244629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
